time_s,throughput_c4,throughput_c4_ci_lower,throughput_c4_ci_upper,throughput_c8,throughput_c8_ci_lower,throughput_c8_ci_upper,throughput_c16,throughput_c16_ci_lower,throughput_c16_ci_upper,throughput_c32,throughput_c32_ci_lower,throughput_c32_ci_upper,throughput_c64,throughput_c64_ci_lower,throughput_c64_ci_upper,txns_c4,txns_c4_ci_lower,txns_c4_ci_upper,txns_c8,txns_c8_ci_lower,txns_c8_ci_upper,txns_c16,txns_c16_ci_lower,txns_c16_ci_upper,txns_c32,txns_c32_ci_lower,txns_c32_ci_upper,txns_c64,txns_c64_ci_lower,txns_c64_ci_upper
11,1123827.150,1057037.579,1190616.722,1110395.354,1077410.626,1143380.082,1217730.560,1164294.652,1271166.468,1254792.865,1248030.206,1261555.524,1269855.916,1239247.105,1300464.728,12363026.400,11628416.714,13097636.086,12216068.000,11853183.402,12578952.598,13396275.400,12808528.099,13984022.701,13807747.200,13731209.849,13884284.551,13981787.400,13642052.674,14321522.126
12,1158411.740,1089937.163,1226886.317,1126303.190,1094723.462,1157882.918,1228500.963,1176546.506,1280455.420,1259670.172,1251702.502,1267637.843,1272931.957,1241789.583,1304074.330,13901991.200,13080388.331,14723594.069,13517743.200,13138885.064,13896601.336,14743416.400,14120021.660,15366811.140,15121196.000,15023853.877,15218538.123,15289201.800,14912575.463,15665828.137
13,1186226.845,1118852.835,1253600.855,1140100.055,1109529.562,1170670.547,1236229.632,1184350.853,1288108.410,1264741.685,1255388.799,1274094.571,1278352.503,1246257.885,1310447.121,15422107.600,14546340.902,16297874.298,14823716.800,14426326.627,15221106.973,16072491.400,15398157.180,16746825.620,16447365.200,16323645.019,16571085.381,16633560.000,16213158.009,17053961.991
14,1210952.859,1142102.087,1279803.630,1151071.443,1121985.968,1180156.918,1242891.088,1191766.681,1294015.494,1268976.298,1258991.777,1278960.818,1283353.087,1253760.187,1312945.987,16954607.000,15990787.807,17918426.193,16117606.600,15710323.773,16524889.427,17402103.400,16686462.509,18117744.291,17771625.600,17629786.758,17913464.442,17982276.000,17565589.030,18398962.970
15,1232323.917,1161747.270,1302900.563,1161100.928,1133088.800,1189113.056,1248961.881,1198178.807,1299744.956,1272524.630,1263080.635,1281968.624,1287863.490,1260305.234,1315421.746,18486235.200,17427682.343,19544788.057,17420212.200,16997746.895,17842677.505,18736146.600,17974508.515,19497784.685,19094383.800,18949904.181,19238863.419,19333820.000,18918554.839,19749085.161
16,1248453.764,1176887.617,1320019.912,1169916.050,1143598.742,1196233.357,1254095.007,1204717.137,1303472.877,1275231.941,1264799.101,1285664.781,1290317.904,1263306.719,1317329.090,19976890.000,18831917.922,21121862.078,18722719.600,18299228.454,19146210.746,20067447.400,19277555.691,20857339.109,20410898.000,20241030.800,20580765.200,20661362.400,20227143.338,21095581.462
17,1264591.716,1191673.844,1337509.587,1179159.815,1154270.201,1204049.429,1258905.529,1209545.417,1308265.640,1278950.417,1267738.080,1290162.754,1292827.909,1266742.577,1318913.241,21499801.000,20260274.754,22739327.246,20050301.800,19624232.241,20476371.359,21403518.800,20564603.596,22242434.004,21749916.200,21556494.938,21943337.462,21994580.800,21549067.156,22440094.444
18,1280541.313,1205458.343,1355624.282,1186291.116,1162451.274,1210130.958,1262603.616,1212451.862,1312755.370,1279020.771,1267226.017,1290815.525,1294557.966,1268120.140,1320995.791,23051589.200,21700144.282,24403034.118,21357953.000,20925877.025,21790028.975,22729072.400,21826575.827,23631568.973,23030481.400,22815482.675,23245480.125,23319049.200,22841819.107,23796279.293
19,1295012.992,1217086.440,1372939.544,1192472.293,1169468.724,1215475.861,1265555.643,1214351.043,1316760.242,1280817.218,1269397.353,1292237.083,1295252.325,1270216.112,1320288.538,24608189.600,23128042.404,26088336.796,22661829.400,22221689.728,23101969.072,24047859.400,23075166.067,25020552.733,24344120.800,24124724.832,24563516.768,24626888.400,24150165.908,25103610.892
20,1306877.593,1226405.177,1387350.008,1197777.704,1175568.478,1219986.930,1268229.651,1216456.974,1320002.329,1281183.215,1266900.951,1295465.478,1295258.549,1272926.774,1317590.323,26140644.600,24531726.519,27749562.681,23960509.200,23513169.743,24407848.657,25366997.000,24331738.895,26402255.105,25632342.800,25344539.695,25920145.905,25923552.000,25474511.682,26372592.318
